1,11.1,61,222,3,1,1
2,5.3478260869565215,26,82,10,4,0
3,12,53,240,5,1,1
4,10.35,63,207,4,1,0
5,6.45,40,129,8,2,0
6,8.703296703296704,55,132,1,1,1
7,8.25,47,165,7,3,0
8,8.369747899159664,40,166,5,1,1
9,5.892857142857142,39,110,10,2,0
10,5.894736842105263,26,112,5,3,1
11,8.3,54,166,8,1,0
12,9.247706422018348,53,168,4,3,1
13,7.1,25,142,8,2,0
14,10.860759493670887,48,143,1,1,1
15,10.4,53,208,5,2,1
16,10.1,52,202,7,2,0
17,10.7,58,214,5,2,0
18,10.941176470588236,73,217,7,1,1
19,9.1,60,182,10,1,1
20,5.8,39,116,9,2,0
21,6.75,57,135,8,2,0
22,8.03883495145631,45,138,3,2,1
23,7.35,61,147,9,3,0
24,8.941176470588236,45,152,1,0,1
25,7.7,27,154,7,3,0
26,12.916666666666666,60,155,0,0,1
27,7.9,45,158,8,3,0
28,8.307692307692308,55,162,6,2,1
29,8.9,36,178,5,1,1
30,8.389830508474576,45,165,10,1,0
31,6.85,40,137,8,3,0
32,7.392857142857142,38,138,3,3,1
33,9.55,58,191,5,1,1
34,9.05,55,181,5,3,0
35,8.2,50,164,8,1,0
36,8.789473684210526,41,167,3,1,1
